Respondent_ID,Gender,Age_Group,Income_TWD,Period_of_Use,Student_Status,FS1,FS2,FS3,FS4,FS5,US1,US2,US3,US4,US5,DS1,DS2,DS3,DS4,PS1,PS2,PS3,PS4,CSS1,CSS2,CSS3,CSS4,BIS1,BIS2,BIS3,BIS4,BIS5,GSS1,GSS2,GSS3,GSS4,CSO1,CSO2,CSO3,CSO4,CSO5,CLS1,CLS2,CLS3,CLS4
R001,Female,23-28,"Above 50,001",Less than 1 Year,No,4,4,4,3,4,5,5,6,5,6,5,5,5,5,5,5,5,5,4,4,3,4,6,6,6,6,6,3,3,2,2,5,6,5,5,5,4,5,5,4
R002,Female,18-22,"25,001-30,000",2 Years,No,5,4,4,5,5,5,5,5,4,5,4,6,6,5,4,3,4,4,4,4,4,4,6,6,6,5,5,2,2,2,2,4,4,5,3,5,4,4,5,6
R003,Female,18-22,"25,001-30,000",1 Year,Yes,5,6,5,6,5,5,6,5,4,5,3,2,3,3,5,5,5,5,5,5,5,5,4,4,5,5,4,4,4,4,4,4,4,4,2,4,5,5,4,5
R004,Male,23-28,"Above 50,001",Less than 1 Year,No,4,3,3,4,4,3,3,2,3,3,4,4,4,4,4,4,4,4,4,3,3,3,4,4,5,4,4,4,3,4,3,4,3,3,3,4,5,4,5,4
R005,Male,29-33,"Above 50,001",2 Years,No,4,4,5,5,5,4,4,4,3,4,6,6,6,6,4,4,5,5,3,3,3,4,5,4,4,4,4,4,4,4,4,5,4,4,3,6,5,5,5,5
R006,Female,49-53,"30,001-35,000",Less than 1 Year,No,4,4,3,4,4,6,6,6,6,5,4,5,4,4,5,5,4,5,3,3,4,3,5,5,4,5,4,4,2,3,3,5,6,5,5,5,5,6,6,5
R007,Female,18-22,"20,001-25,000",1 Year,Yes,5,5,5,6,6,6,6,5,5,6,4,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,3,3,2,2,5,5,5,4,6,5,5,4,4
R008,Male,44-48,"Under 20,000",Less than 1 Year,No,4,3,3,3,4,4,3,4,4,2,3,3,3,3,2,2,2,2,4,5,5,5,3,3,3,3,3,3,4,3,3,2,3,2,2,3,2,3,2,3
R009,Male,29-33,"25,001-30,000",Less than 1 Year,No,5,4,4,4,4,4,4,4,3,4,3,3,3,4,5,5,5,5,4,5,5,4,4,5,4,5,4,1,1,1,1,4,4,5,3,4,4,5,5,6
R010,Male,18-22,"20,001-25,000",Less than 1 Year,No,5,5,5,5,5,6,6,6,5,5,5,6,5,5,6,6,5,5,4,5,5,5,5,5,5,4,6,2,2,2,1,6,6,6,4,6,5,5,6,5
R011,Male,44-48,"35,001-40,000",1 Year,No,3,3,3,4,4,3,3,3,3,4,4,5,5,5,5,5,4,5,4,3,4,3,5,4,4,5,4,4,3,4,3,4,4,4,4,4,4,4,4,4
R012,Female,18-22,"25,001-30,000",1 Year,No,5,6,4,4,5,4,4,4,4,3,5,5,5,5,3,3,3,3,5,5,5,5,4,5,5,5,6,4,2,4,4,4,4,5,4,4,4,5,4,5
R013,Male,29-33,"20,001-25,000",Less than 1 Year,No,6,6,6,6,5,4,5,6,5,6,4,4,4,3,3,3,3,3,3,3,3,3,5,5,5,5,5,4,4,5,4,5,5,5,5,6,5,5,5,6
R014,Male,29-33,"30,001-35,000",Less than 1 Year,No,5,5,5,5,5,6,6,6,6,6,4,4,4,4,6,5,5,6,3,5,5,5,6,6,6,5,5,3,3,2,3,5,5,5,4,6,5,6,5,4
R015,Male,18-22,"Under 20,000",Less than 1 Year,No,4,5,4,4,4,4,3,3,4,3,3,4,4,4,4,4,4,4,3,3,3,3,5,5,6,6,6,4,3,3,3,5,5,6,5,6,5,5,6,6
R016,Male,29-33,"20,001-25,000",Less than 1 Year,Yes,5,5,5,4,6,5,4,3,4,4,6,5,5,6,4,3,3,3,5,5,5,6,5,4,3,5,4,3,3,2,2,5,5,5,4,5,6,5,6,6
R017,Male,18-22,"25,001-30,000",Less than 1 Year,No,6,6,5,5,6,5,5,3,4,5,6,4,4,5,6,5,6,5,5,5,5,5,3,4,4,4,3,2,3,3,3,5,5,5,3,5,6,6,5,6
R018,Male,34-38,"40,001-50,000",Less than 1 Year,No,6,5,5,5,6,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,6,6,6,6,6,4,3,4,4,6,6,6,5,6,6,6,6,6
R019,Male,23-28,"30,001-35,000",Less than 1 Year,No,3,4,3,2,4,3,5,4,4,4,5,5,5,5,4,4,4,5,4,4,4,4,4,4,4,5,3,2,2,2,2,4,4,4,3,4,4,4,4,4
R020,Male,49-53,"Above 50,001",Less than 1 Year,No,5,5,5,6,5,5,3,5,5,5,3,3,3,3,4,4,5,4,3,3,3,3,5,5,5,5,5,2,2,2,1,5,5,4,4,4,5,5,6,6
R021,Female,23-28,"30,001-35,000",2 Years,No,4,5,5,5,6,6,5,6,5,5,4,4,4,4,5,5,5,5,5,5,4,5,5,5,5,6,4,3,3,3,2,6,6,6,5,6,6,6,6,6
R022,Male,18-22,"Above 50,001",Less than 1 Year,No,4,3,3,3,4,5,6,4,5,5,4,3,3,4,3,4,3,3,4,4,3,4,3,3,3,3,4,3,3,3,2,3,3,3,2,3,5,4,4,3
R023,Male,39-43,"Under 20,000",1 Year,No,6,6,6,5,5,5,6,6,6,6,4,4,4,4,5,5,5,5,4,4,4,4,6,5,5,5,5,3,3,4,3,6,5,6,4,6,6,6,6,5
R024,Female,23-28,"25,001-30,000",1 Year,No,4,4,3,5,4,3,3,4,3,3,5,4,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,3,4,2,3,5,6,5,4,6,4,5,5,5
R025,Male,44-48,"25,001-30,000",Less than 1 Year,No,5,5,6,4,4,5,3,4,3,4,5,6,5,5,4,3,3,3,5,4,4,5,4,4,4,5,5,3,3,4,4,4,4,5,3,3,5,5,5,4
R026,Male,34-38,"30,001-35,000",Less than 1 Year,No,4,4,5,3,4,4,4,4,3,3,4,3,4,4,3,3,3,3,4,3,3,3,5,3,3,4,4,1,2,2,2,4,4,4,3,4,5,5,5,4
R027,Male,34-38,"35,001-40,000",2 Years,No,3,4,3,3,4,4,4,4,4,3,6,5,5,5,3,2,3,4,3,2,2,2,4,3,4,4,3,4,3,3,3,4,4,3,3,4,2,3,3,3
R028,Male,29-33,"40,001-50,000",Less than 1 Year,No,3,3,2,4,3,5,5,5,5,4,4,5,4,4,4,4,4,4,5,4,4,4,5,5,5,5,5,3,3,3,3,4,4,4,4,4,4,4,5,4
R029,Female,34-38,"Above 50,001",Less than 1 Year,No,6,5,6,6,6,5,5,5,5,4,4,5,4,5,4,4,4,4,5,4,3,5,4,5,5,4,4,3,3,3,2,5,5,5,4,4,4,5,5,6
R030,Male,29-33,"40,001-50,000",Less than 1 Year,No,4,5,4,4,5,3,4,4,4,4,4,5,4,4,4,4,4,3,5,4,4,5,4,3,5,5,4,2,3,2,2,3,3,3,3,3,4,4,4,4
R031,Male,34-38,"40,001-50,000",Less than 1 Year,No,5,4,4,4,4,2,4,3,3,3,5,5,5,4,4,4,4,4,3,3,3,3,5,5,5,6,6,2,2,2,1,5,4,5,4,5,2,3,3,3
R032,Male,39-43,"35,001-40,000",Less than 1 Year,Yes,4,4,4,3,4,4,5,4,5,5,5,5,5,5,4,4,4,4,4,3,3,4,4,4,4,5,5,3,3,3,4,5,5,5,4,5,6,6,6,5
R033,Male,18-22,"30,001-35,000",Less than 1 Year,No,3,4,3,3,2,4,4,5,5,4,5,5,5,5,3,3,3,3,3,3,3,4,5,4,4,4,5,3,3,4,3,2,3,3,3,3,4,3,4,3
R034,Female,23-28,"40,001-50,000",Less than 1 Year,No,3,4,4,4,3,4,3,2,5,4,4,4,4,3,4,4,4,3,4,4,5,4,4,4,4,5,4,2,3,2,2,5,5,4,3,4,6,6,5,6
R035,Male,18-22,"25,001-30,000",Less than 1 Year,No,5,5,5,4,4,4,4,4,5,3,4,4,4,4,3,3,4,3,4,4,4,4,3,4,4,4,3,3,2,3,4,4,5,4,4,4,3,4,3,3
R036,Male,18-22,"35,001-40,000",2 Years,No,6,6,5,6,5,4,4,5,4,4,5,5,6,5,3,2,3,3,4,4,4,4,6,6,6,6,6,1,3,3,3,4,4,5,4,4,5,5,6,5
R037,Male,49-53,"Above 50,001",Less than 1 Year,No,5,5,5,6,5,4,5,4,5,5,3,4,5,4,4,4,4,4,4,4,4,5,5,5,5,5,4,5,5,5,4,5,6,5,4,5,5,6,6,5
R038,Female,23-28,"Above 50,001",Less than 1 Year,Yes,3,3,2,3,2,3,3,3,3,3,4,4,3,3,2,2,2,2,3,3,4,3,3,4,3,3,3,1,2,2,2,4,4,4,3,4,3,3,3,4
R039,Male,34-38,"30,001-35,000",Less than 1 Year,No,5,5,4,4,4,3,3,5,5,3,4,4,5,5,5,5,5,4,5,4,4,5,3,3,3,4,3,2,2,3,2,4,3,4,2,3,4,3,4,3
R040,Male,39-43,"25,001-30,000",2 Years,Yes,3,4,4,3,4,6,4,5,4,5,5,5,5,6,4,4,4,4,5,6,5,6,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5
R041,Female,34-38,"Above 50,001",3 Years,Yes,5,4,5,5,5,6,5,6,5,6,6,6,6,6,4,4,4,4,5,4,4,5,4,6,5,5,6,4,5,4,4,5,4,4,3,5,5,4,4,4
R042,Female,34-38,"40,001-50,000",Less than 1 Year,No,4,3,4,3,4,4,3,3,4,4,4,4,3,4,3,3,4,4,3,3,3,3,4,5,4,5,4,3,3,4,4,4,4,4,3,4,3,4,3,3
R043,Male,39-43,"Under 20,000",Less than 1 Year,No,6,6,6,6,6,5,6,5,4,5,4,4,4,4,6,6,6,6,5,5,5,5,6,6,6,5,6,2,3,3,2,6,6,6,5,6,6,6,6,6
R044,Female,23-28,"35,001-40,000",Less than 1 Year,Yes,6,5,6,6,5,5,4,6,6,6,4,4,4,4,4,5,4,5,4,4,4,4,4,6,5,4,5,4,3,4,3,6,6,6,5,6,5,6,5,5
R045,Female,18-22,"25,001-30,000",Less than 1 Year,No,5,5,4,4,4,3,3,4,4,3,4,4,5,3,5,4,5,5,5,5,5,5,4,5,4,4,5,2,3,4,2,5,5,5,3,5,5,6,6,6
R046,Male,18-22,"25,001-30,000",Less than 1 Year,No,4,4,5,4,5,6,6,5,6,6,5,4,5,4,3,4,3,3,4,4,5,4,5,4,5,4,5,3,3,2,2,6,6,5,4,6,4,5,4,4
R047,Female,34-38,"Under 20,000",Less than 1 Year,No,5,3,4,5,4,4,3,5,5,4,5,6,5,5,4,5,4,4,4,4,5,4,5,5,4,4,5,4,5,5,4,4,4,5,2,4,4,5,4,3
R048,Female,23-28,"40,001-50,000",1 Year,No,4,4,5,4,5,4,3,4,4,4,4,3,3,4,5,5,5,6,4,4,4,3,4,4,4,4,4,3,2,3,3,4,4,4,3,4,5,5,4,4
R049,Male,18-22,"25,001-30,000",Less than 1 Year,Yes,5,4,5,6,5,5,4,3,5,4,5,5,4,4,5,5,5,5,3,3,3,3,4,4,4,3,5,3,2,2,3,4,4,3,3,4,4,4,4,4
R050,Male,34-38,"Under 20,000",Less than 1 Year,Yes,5,5,5,5,5,5,5,5,4,4,4,4,5,5,4,3,4,4,4,4,4,4,3,4,4,4,4,5,4,5,4,4,5,5,3,4,5,5,5,5
R051,Male,18-22,"30,001-35,000",1 Year,No,4,5,4,4,4,4,4,5,5,5,6,5,6,6,4,4,4,4,4,4,4,4,5,4,5,5,5,2,3,3,2,4,4,4,3,4,3,4,4,3
R052,Male,18-22,"35,001-40,000",Less than 1 Year,No,4,4,4,4,4,4,4,4,4,3,4,3,3,4,2,1,2,1,3,3,3,3,4,4,3,3,3,3,4,4,3,4,3,4,2,3,4,4,4,4
R053,Female,34-38,"Under 20,000",Less than 1 Year,No,5,4,4,4,4,5,5,5,6,6,4,4,5,4,6,6,6,6,3,4,4,3,5,6,5,6,6,3,3,3,3,5,5,5,3,6,5,6,4,5
R054,Male,23-28,"30,001-35,000",Less than 1 Year,No,5,6,5,4,5,4,5,5,4,5,5,4,5,5,5,5,5,4,4,4,4,3,5,5,4,5,5,1,2,2,1,4,4,5,3,4,6,6,5,5
R055,Female,34-38,"40,001-50,000",2 Years,No,3,4,5,3,4,3,4,5,5,5,4,5,5,4,5,4,4,4,4,4,4,4,5,4,4,3,4,4,2,4,4,4,4,4,3,4,3,4,4,4
R056,Male,44-48,"20,001-25,000",Less than 1 Year,No,5,5,4,5,4,3,3,2,3,4,5,5,4,4,4,4,4,4,4,4,4,4,5,5,4,5,4,3,3,3,4,4,3,4,3,4,3,4,4,3
R057,Male,39-43,"25,001-30,000",Less than 1 Year,No,4,4,4,4,5,4,5,6,4,5,5,5,5,5,2,3,3,3,5,5,4,5,5,5,4,5,4,2,3,3,3,5,4,5,4,4,4,5,5,4
R058,Male,23-28,"25,001-30,000",Less than 1 Year,Yes,5,5,5,5,5,5,5,4,3,4,5,6,6,5,4,4,4,5,4,4,5,4,4,5,4,5,4,1,2,1,1,5,4,4,3,3,5,5,6,6
R059,Female,29-33,"40,001-50,000",Less than 1 Year,No,6,6,4,6,5,6,4,6,5,5,4,5,4,5,5,5,4,5,5,5,5,5,6,5,6,6,6,4,5,4,4,6,5,5,4,6,5,5,5,5
R060,Female,18-22,"30,001-35,000",1 Year,No,3,4,3,4,4,5,6,4,5,5,5,5,5,5,3,3,3,4,5,4,5,5,4,5,5,5,5,2,2,2,1,4,4,3,4,4,3,3,4,3
R061,Male,23-28,"Above 50,001",2 Years,No,6,6,6,5,5,5,5,6,6,5,6,5,6,6,5,4,5,6,4,4,4,4,5,6,5,5,5,2,1,2,1,5,5,4,4,4,4,5,5,4
R062,Male,44-48,"Above 50,001",2 Years,No,3,4,2,4,3,4,4,5,4,4,3,3,3,3,4,3,3,2,2,3,3,3,3,5,5,4,5,2,3,3,3,4,4,4,3,4,4,4,4,4
R063,Male,44-48,"30,001-35,000",2 Years,Yes,5,5,5,6,5,4,5,5,5,5,3,3,4,3,3,4,4,3,3,2,2,2,4,5,4,5,4,1,2,2,1,5,4,5,3,4,6,5,6,5
R064,Female,29-33,"20,001-25,000",Less than 1 Year,No,5,5,5,4,5,6,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,4,5,4,4,4,2,3,3,5,5,4,4,5,5,5,6,5
R065,Male,49-53,"40,001-50,000",1 Year,No,3,3,3,2,3,3,3,3,3,4,4,5,5,4,4,4,3,3,3,3,3,3,3,4,3,4,3,3,2,3,1,3,3,4,3,4,4,3,4,4
R066,Male,23-28,"Above 50,001",Less than 1 Year,No,5,5,5,5,6,5,4,5,4,5,3,4,3,3,5,5,5,4,4,4,4,4,4,5,5,4,4,2,3,2,3,5,4,4,3,4,3,4,3,3
R067,Female,23-28,"35,001-40,000",3 Years,No,6,6,6,6,6,6,4,5,6,6,4,4,4,4,5,5,5,6,5,5,5,4,5,6,6,5,6,3,3,3,4,6,6,6,5,6,6,6,6,6
R068,Female,23-28,"30,001-35,000",Less than 1 Year,No,4,5,3,5,4,3,4,4,4,5,3,3,3,3,4,5,4,4,4,5,5,4,4,4,4,5,5,1,2,2,2,4,4,4,3,4,3,4,4,3
R069,Female,23-28,"25,001-30,000",Less than 1 Year,No,3,4,3,4,4,5,6,6,5,6,6,6,6,6,3,3,3,4,4,4,5,4,6,5,6,6,6,2,3,2,2,4,5,5,4,5,5,5,3,5
R070,Male,29-33,"Under 20,000",Less than 1 Year,No,4,4,5,3,4,4,4,5,4,4,2,2,2,2,4,4,4,4,4,4,3,4,5,5,5,6,5,1,2,2,2,4,4,5,4,4,4,4,5,4
R071,Male,44-48,"40,001-50,000",Less than 1 Year,No,6,5,5,6,5,5,6,5,4,5,6,6,6,6,5,5,5,4,5,5,4,5,5,6,6,6,6,4,3,3,4,5,5,6,4,5,6,5,6,5
R072,Female,18-22,"Under 20,000",Less than 1 Year,No,5,5,5,5,5,4,4,4,5,4,4,4,4,4,4,3,3,4,5,5,5,5,5,4,4,4,5,2,2,3,3,4,4,3,3,3,4,5,4,4
R073,Male,39-43,"35,001-40,000",Less than 1 Year,No,4,4,2,4,3,3,3,4,4,4,5,5,5,5,3,3,4,3,4,4,4,4,4,4,4,4,4,1,1,1,1,2,3,3,1,3,3,3,3,2
R074,Male,18-22,"Under 20,000",Less than 1 Year,Yes,5,5,6,6,5,4,5,5,5,4,5,5,4,5,4,4,4,4,4,3,4,3,5,5,5,6,5,1,1,1,2,4,4,4,4,4,4,4,4,4
R075,Male,29-33,"20,001-25,000",Less than 1 Year,No,3,4,4,5,4,5,5,5,5,5,5,6,5,5,3,3,3,2,4,4,4,4,4,6,5,4,4,2,2,2,2,5,4,4,3,5,5,5,5,5
R076,Male,29-33,"30,001-35,000",1 Year,Yes,4,4,4,3,4,4,6,5,6,5,4,4,4,4,2,3,3,3,5,5,4,5,5,5,5,5,5,1,2,3,1,5,5,5,4,5,5,5,5,6
R077,Female,49-53,"Under 20,000",2 Years,No,5,4,4,5,5,5,4,6,5,5,3,3,2,3,4,3,4,5,5,5,4,5,5,4,4,4,4,2,3,3,3,4,5,5,3,5,5,6,4,6
